VoucherQuery,券列表查询
VoucherDetailQuery,券详情查询
VoucherVerify,券核销
VoucherRefund,券退还
VoucherRecycle,券回收
VoucherDisuse,券禁用
VoucherSend,券发放
VoucherBatchSend,批量券发放
VoucherActivityTemplateCreate,有赞券模版同步到三方
VoucherActivityTemplateUpdate,有赞券模版修改
VoucherActivityCreateReverseRest,优惠券逆向创建券模板活动REST
VoucherTemplateDetailQuery,外部券模版查询
AvailableVoucherQuery,可用券查询
ActivityTemplateSyncReverse,外部券模版同步到有赞
VoucherVerifyReverse,外部券核销至有赞
VoucherRefundReverse,外部券退券至有赞
VoucherRecycleReverse,外部券回收至有赞
VoucherDisuseReverse,外部券禁用至有赞
VoucherSendReverse,优惠券发放逆向
VoucherOperateReverse,外部券操作同步至有赞
